 རོ ལ་པ 						རོ	ལ་པ 	།_། 	ཉི 	མ 	-འི 	bstod tshogs ka_.txt	     རོ ལ་པ  །_།  ཉི  མ  -འི 
།_།  རོ ལ 	ཐུགས 	རྗེ་གཙོ་དང 	ལྡན་པ 	-ས་ན 	།_། 	རོ	ལ 	མོ་མཁན་གྱི 	སྒྱུ་རྩལ་ཡང 	།_། 	ཁྱོད་ཀྱི 	bstod tshogs ka_.txt	ཐུགས  རྗེ་གཙོ་དང  ལྡན་པ  -ས་ན  །_།  རོ ལ  མོ་མཁན་གྱི  སྒྱུ་རྩལ་ཡང  །_།  ཁྱོད་ཀྱི 
།_།  རོ ལ 	གང་ཞིག 	རྗེས་སུ 	མི 	མཐུན་པའི 	།_། 	རོ	ལ 	མོ་མཁན་གྱི 	བཟོ 	སོགས་ནི 	།_། 	bstod tshogs ka_.txt	གང་ཞིག  རྗེས་སུ  མི  མཐུན་པའི  །_།  རོ ལ  མོ་མཁན་གྱི  བཟོ  སོགས་ནི  །_། 
ཐམས་ཅད  རོ ་གཅིག 	།_། 	གང་ཡང་དེ་གཉིས 	ལྡན་པ་དག 	_། 	ཐམས་ཅད 	རོ	་གཅིག 	ཉིད་དུ་འགྱུར 	།_། 	ཡུན 	རིང 	bstod tshogs ka_.txt	།_།  གང་ཡང་དེ་གཉིས  ལྡན་པ་དག  _།  ཐམས་ཅད  རོ ་གཅིག  ཉིད་དུ་འགྱུར  །_།  ཡུན  རིང 
།_།  རོ ་ནི 	བར 	བདུད་རྩི 	འདི 	འདྲ་བའང 	།_། 	རོ	་ནི 	ཕྲོགས་པ 	-ར 	གྱུར་པ་སྟེ 	།_། 	bstod tshogs ka_.txt	བར  བདུད་རྩི  འདི  འདྲ་བའང  །_།  རོ ་ནི  ཕྲོགས་པ  -ར  གྱུར་པ་སྟེ  །_། 
ཕྱི  རོ ལ 	སོགས་པ 	ཞི་བ 	-འི་ཕྱིར 	།_། 	ཕྱི 	རོ	ལ 	གཡེང་བ 	ཞི 	དོན་དུ 	།_། 	bstod tshogs ka_.txt	སོགས་པ  ཞི་བ  -འི་ཕྱིར  །_།  ཕྱི  རོ ལ  གཡེང་བ  ཞི  དོན་དུ  །_། 
 རོ ལ་གྱི 						རོ	ལ་གྱི 	།_། 	བཟའ 	བཏུང 	གོས་ལ 	bstod tshogs ka_.txt	     རོ ལ་གྱི  །_།  བཟའ  བཏུང  གོས་ལ 
རད  རོ ད 	-འང 	གཤེགས 	མཛད་ཅིང 	།_། 	རད 	རོ	ད 	ཅན 	དུ 	-འང 	མན 	bstod tshogs ka_.txt	-འང  གཤེགས  མཛད་ཅིང  །_།  རད  རོ ད  ཅན  དུ  -འང  མན 
ཆོས་ཀྱིས  རོ  -ས 	ཕྱག 	འཚལ་ལོ 	།_། 	ཁྱོད་ཀྱི 	ཆོས་ཀྱིས 	རོ 	-ས 	ཚིམ་པས 	།_། 	གསེར་ལས 	བགྱིས་པ 	bstod tshogs ka_.txt	ཕྱག  འཚལ་ལོ  །_།  ཁྱོད་ཀྱི  ཆོས་ཀྱིས  རོ  -ས  ཚིམ་པས  །_།  གསེར་ལས  བགྱིས་པ 
 རོ ལ 						རོ	ལ 	འདོད 	སླད་དུ 	།_། 	བརྩོན 	bstod tshogs ka_.txt	     རོ ལ  འདོད  སླད་དུ  །_།  བརྩོན 
