 འགྱུར ་བ་ལགས 	གསུམ་པ 	ཐ 	དད 			འགྱུར	་བ་ལགས 	།_། 	སྐྱེ 	སོགས་གསུམ་པོ་སོ་སོ་ནི 	།_། 	bstod tshogs ka_.txt	གསུམ་པ  ཐ  དད    འགྱུར ་བ་ལགས  །_།  སྐྱེ  སོགས་གསུམ་པོ་སོ་སོ་ནི  །_། 
 འགྱུར  །_། 						འགྱུར 	།_། 	དེ 	ལྟར 	ཡང་དག 	རིག་པ 	bstod tshogs ka_.txt	     འགྱུར  །_།  དེ  ལྟར  ཡང་དག  རིག་པ 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཐུགས 	རྗེ 	-འི 	བདག་ཉིད 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཐུགས  རྗེ  -འི  བདག་ཉིད 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཁྱེད་ཀྱི 	སྙན་ནི 	མ 	ཉམས 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཁྱེད་ཀྱི  སྙན་ནི  མ  ཉམས 
 འགྱུར  །_། 						འགྱུར 	།_། 	སྨན་པ 	རྣམས་ཀྱི 	སྨན་པ 	-འི་རྒྱལ 	bstod tshogs ka_.txt	     འགྱུར  །_།  སྨན་པ  རྣམས་ཀྱི  སྨན་པ  -འི་རྒྱལ 
 འགྱུར  །_། 						འགྱུར 	།_། 	རྒྱ 	མཚོ 	-ར 	གཉའ་ཤིང 	bstod tshogs ka_.txt	     འགྱུར  །_།  རྒྱ  མཚོ  -ར  གཉའ་ཤིང 
མི  འགྱུར ་རོ 	ངེས 	པར 	བསྟོད་པ 	-ར 	མི 	འགྱུར	་རོ 	།_། 	དེ 	ལྟར 	ཐུབ་པ 	bstod tshogs ka_.txt	ངེས  པར  བསྟོད་པ  -ར  མི  འགྱུར ་རོ  །_།  དེ  ལྟར  ཐུབ་པ 
འཕེལ  འགྱུར  བ 	བླངས་ནས་ནི 	།_། 	སློང་ལ 	དགྱེས་པ 	འཕེལ 	འགྱུར 	བ 	།_། 	བ 	སྤུ 	དུ་མ 	bstod tshogs ka_.txt	བླངས་ནས་ནི  །_།  སློང་ལ  དགྱེས་པ  འཕེལ  འགྱུར  བ  །_།  བ  སྤུ  དུ་མ 
 འགྱུར  །_། 						འགྱུར 	།_། 	རྟག་ཏུ 	གྱ་གྱུ་རྣམ 	སྤངས་ཤིང 	།_། 	bstod tshogs ka_.txt	     འགྱུར  །_།  རྟག་ཏུ  གྱ་གྱུ་རྣམ  སྤངས་ཤིང  །_། 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཉན 	ཐོས 	བློ 	མཆོག 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཉན  ཐོས  བློ  མཆོག 
 འགྱུར  །_། 						འགྱུར 	།_། 	གང་ལ 	སྤྱི 	ཙམ 	བསྒྲུན་ནས་ནི 	bstod tshogs ka_.txt	     འགྱུར  །_།  གང་ལ  སྤྱི  ཙམ  བསྒྲུན་ནས་ནི 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཁྱོད་ནི 	བདུད་ལས 	རྣམ་རྒྱལ་ཏེ 	།_། 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཁྱོད་ནི  བདུད་ལས  རྣམ་རྒྱལ་ཏེ  །_། 
མི  འགྱུར ་ན 	ཁོང་ཁྲོ་བར 	།_། 	ཁྱོད་ཀྱི 	ཐུགས་ནི 	མི 	འགྱུར	་ན 	།_། 	ཁྱོད་ལ 	བསྟོད་དུ་ཅི་ཞིག་མཆིས 	།_། 	bstod tshogs ka_.txt	ཁོང་ཁྲོ་བར  །_།  ཁྱོད་ཀྱི  ཐུགས་ནི  མི  འགྱུར ་ན  །_།  ཁྱོད་ལ  བསྟོད་དུ་ཅི་ཞིག་མཆིས  །_། 
བྲལ  འགྱུར ་ཞིང 	རྙེད་པ་ན 	།_། 	ཐམས་ཅད 	ཆགས་དང 	བྲལ 	འགྱུར	་ཞིང 	།_། 	འདི་ནི 	མཐོང་བ 	-འི 	bstod tshogs ka_.txt	རྙེད་པ་ན  །_།  ཐམས་ཅད  ཆགས་དང  བྲལ  འགྱུར ་ཞིང  །_།  འདི་ནི  མཐོང་བ  -འི 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཁྱད 	པར་ལ 	མཁས་མ་ཡིན་ཡང 	།_། 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཁྱད  པར་ལ  མཁས་མ་ཡིན་ཡང  །_། 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཕུན 	སུམ 	ཚོགས་ལས 	ལྷག་པ 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཕུན  སུམ  ཚོགས་ལས  ལྷག་པ 
མི  འགྱུར ་བ 	།_། 	སེམས 	ཅན 	ཡོད་ན 	མི 	འགྱུར	་བ 	།_། 	གུས་པ 	-ས 	གཞན་དུ 	bstod tshogs ka_.txt	།_།  སེམས  ཅན  ཡོད་ན  མི  འགྱུར ་བ  །_།  གུས་པ  -ས  གཞན་དུ 
