ཕུན  སུ མ 	ལྟར་ན 	བདག་དང 	གཞན་ལ 	ཕན་པ 	ཕུན 	སུ	མ 	ཚོགས་པ 	ཆེན་པོ 	-འི 	གཞི 	bstod tshogs ka_.txt	ལྟར་ན  བདག་དང  གཞན་ལ  ཕན་པ  ཕུན  སུ མ  ཚོགས་པ  ཆེན་པོ  -འི  གཞི 
ཕུན  སུ མ 	ལྟར 	བདག་དང 	གཞན་ལ 	ཕན་པ 	ཕུན 	སུ	མ 	ཚོགས་པ 	ཆེན་པོ 	-འི 	གཞི 	bstod tshogs ka_.txt	ལྟར  བདག་དང  གཞན་ལ  ཕན་པ  ཕུན  སུ མ  ཚོགས་པ  ཆེན་པོ  -འི  གཞི 
 སུ  གྱུར་པ་ནི 						སུ 	གྱུར་པ་ནི 	གླ་རྩི་ལ 	སོགས་པ 	-ས 	བསྒོས་པ 	bstod tshogs ka_.txt	     སུ  གྱུར་པ་ནི  གླ་རྩི་ལ  སོགས་པ  -ས  བསྒོས་པ 
ཕུན  སུ མ 	བས་ན 	བདག་དང 	གཞན་ལ 	ཕན་པ 	ཕུན 	སུ	མ 	ཚོགས་པ 	-འི 	གཞི 	-ར 	bstod tshogs ka_.txt	བས་ན  བདག་དང  གཞན་ལ  ཕན་པ  ཕུན  སུ མ  ཚོགས་པ  -འི  གཞི  -ར 
 སུ  དག་པ 						སུ 	དག་པ 	-ར 	གྱུར་པ་ནི 	གསེར་དང 	ཟངས་ཀྱི 	bstod tshogs ka_.txt	     སུ  དག་པ  -ར  གྱུར་པ་ནི  གསེར་དང  ཟངས་ཀྱི 
 སུ ངས་པ་གང 						སུ	ངས་པ་གང 	འདི་ལྟར 	རྐྱེན་དང 	ལྡན་པ་ནི 	ཀུན་ནས 	bstod tshogs ka_.txt	     སུ ངས་པ་གང  འདི་ལྟར  རྐྱེན་དང  ལྡན་པ་ནི  ཀུན་ནས 
 སུ  ཡོད་པའོ 						སུ 	ཡོད་པའོ 	།_། 	དེ 	མེད་པ 	-ར 	bstod tshogs ka_.txt	     སུ  ཡོད་པའོ  །_།  དེ  མེད་པ  -ར 
 སུ ་ལ 						སུ	་ལ 	ཞེ་ན 	།_ 	རྒྱལ་བ 	རྣམས་ཏེ 	bstod tshogs ka_.txt	     སུ ་ལ  ཞེ་ན  །_  རྒྱལ་བ  རྣམས་ཏེ 
 སུ  ཆུད་པ 						སུ 	ཆུད་པ 	-ས 	ཐུགས 	བྱིན་གྱིས 	བརླབས་པ་ལ 	bstod tshogs ka_.txt	     སུ  ཆུད་པ  -ས  ཐུགས  བྱིན་གྱིས  བརླབས་པ་ལ 
 སུ མ་པ 						སུ	མ་པ 	ཐམས་ཅད་ཀྱི 	དབང་ཕྱུག 	ཆེན་པོ 	-འི 	bstod tshogs ka_.txt	     སུ མ་པ  ཐམས་ཅད་ཀྱི  དབང་ཕྱུག  ཆེན་པོ  -འི 
 སུ ང་ངོ 						སུ	ང་ངོ 	།_། 	ཐམས་ཅད་དུ 	འཇུག་པ 	-ས་ན 	bstod tshogs ka_.txt	     སུ ང་ངོ  །_།  ཐམས་ཅད་དུ  འཇུག་པ  -ས་ན 
 སུ ང་བ 						སུ	ང་བ 	-ར 	འགྱུར་བ་དེ་ལ 	དེ་སྐད་ཅེས་བྱའོ 	།_། 	bstod tshogs ka_.txt	     སུ ང་བ  -ར  འགྱུར་བ་དེ་ལ  དེ་སྐད་ཅེས་བྱའོ  །_། 
 སུ  ཆུད་པའོ 						སུ 	ཆུད་པའོ 	།_། 	ལོངས 	སྤྱོད 	རྫོགས 	bstod tshogs ka_.txt	     སུ  ཆུད་པའོ  །_།  ལོངས  སྤྱོད  རྫོགས 
 སུ མ་པ 						སུ	མ་པ 	ཐམས་ཅད་ཀྱི 	བདག་པོའོ 	།_། 	དེ་ལ 	bstod tshogs ka_.txt	     སུ མ་པ  ཐམས་ཅད་ཀྱི  བདག་པོའོ  །_།  དེ་ལ 
 སུ  བཅད་པ་གཉིས་ཀྱིས 						སུ 	བཅད་པ་གཉིས་ཀྱིས 	སྐུ 	རྣམ་པ་གཉིས་པོ 	-འི 	རང་གི 	bstod tshogs ka_.txt	     སུ  བཅད་པ་གཉིས་ཀྱིས  སྐུ  རྣམ་པ་གཉིས་པོ  -འི  རང་གི 
 སུ  སྨིན་པ 						སུ 	སྨིན་པ 	-འི 	དོན་དུའོ 	།_། 	གང་གིས 	bstod tshogs ka_.txt	     སུ  སྨིན་པ  -འི  དོན་དུའོ  །_།  གང་གིས 
 སུ འོ 						སུ	འོ 	།_། 	རབ་ཏུ 	ཞི་བ 	-ར་གང 	bstod tshogs ka_.txt	     སུ འོ  །_།  རབ་ཏུ  ཞི་བ  -ར་གང 
 སུ  མྱ་ངན་ལས 						སུ 	མྱ་ངན་ལས 	འདས་པ 	ཆེན་པོ 	སྟོན་པའོ 	།_། 	bstod tshogs ka_.txt	     སུ  མྱ་ངན་ལས  འདས་པ  ཆེན་པོ  སྟོན་པའོ  །_། 
 སུ  འཇུག་པ 						སུ 	འཇུག་པ 	-ར 	མཛད་པའོ 	།_། 	ཁྱད 	bstod tshogs ka_.txt	     སུ  འཇུག་པ  -ར  མཛད་པའོ  །_།  ཁྱད 
 སུ མ་གྱི 						སུ	མ་གྱི 	འཇིགས 	སེལ་ཞེས 	བྱ་བ་སྟེ 	།_ 	bstod tshogs ka_.txt	     སུ མ་གྱི  འཇིགས  སེལ་ཞེས  བྱ་བ་སྟེ  །_ 
 སུ མ་གྱི 						སུ	མ་གྱི 	སེམས་ཅན 	རྣམས་ཀྱི 	སྐྱེ་བ་ལ 	སོགས་པ 	bstod tshogs ka_.txt	     སུ མ་གྱི  སེམས་ཅན  རྣམས་ཀྱི  སྐྱེ་བ་ལ  སོགས་པ 
 སུ  རྗེས་སུ 						སུ 	རྗེས་སུ 	ཁྱབ་པའོ 	།_། 	ཐུབ་པ་ནི 	སྐུ་དང 	bstod tshogs ka_.txt	     སུ  རྗེས་སུ  ཁྱབ་པའོ  །_།  ཐུབ་པ་ནི  སྐུ་དང 
 སུ ང 						སུ	ང 	ཐུབ་པ་དང 	ལྡན་པ 	-ས་ན 	ཐུབ་པ་སྟེ 	bstod tshogs ka_.txt	     སུ ང  ཐུབ་པ་དང  ལྡན་པ  -ས་ན  ཐུབ་པ་སྟེ 
 སུ ངས་པ་ཡིན་ནོ 						སུ	ངས་པ་ཡིན་ནོ 	།_། 	དེ་ནི 	འདི་སྐད་དུ 	སྟོན་པ 	bstod tshogs ka_.txt	     སུ ངས་པ་ཡིན་ནོ  །_།  དེ་ནི  འདི་སྐད་དུ  སྟོན་པ 
 སུ  རྫོགས་པ 						སུ 	རྫོགས་པ 	-ར 	མཛད་ནས 	།_ 	གནས་ཀྱི 	bstod tshogs ka_.txt	     སུ  རྫོགས་པ  -ར  མཛད་ནས  །_  གནས་ཀྱི 
 སུ  འཇུག་པ་དང 						སུ 	འཇུག་པ་དང 	།_ 	བལྟམས་པ་དང 	།_ 	བཙུན 	bstod tshogs ka_.txt	     སུ  འཇུག་པ་དང  །_  བལྟམས་པ་དང  །_  བཙུན 
 སུ  མྱ་ངན་ལས 						སུ 	མྱ་ངན་ལས 	འདས་པ 	ཆེན་པོ 	-འི 	བར་གྱིས 	bstod tshogs ka_.txt	     སུ  མྱ་ངན་ལས  འདས་པ  ཆེན་པོ  -འི  བར་གྱིས 
 སུ ངས་པ 						སུ	ངས་པ 	-ས་སོ 	།_། 	དེ 	ལྟར 	bstod tshogs ka_.txt	     སུ ངས་པ  -ས་སོ  །_།  དེ  ལྟར 
