 ལས ་ནི 						ལས	་ནི 	སྙིང་པོ 	དག་ནི 	བླང་བ 	-ར་གྱིས 	bstod tshogs ka_.txt	     ལས ་ནི  སྙིང་པོ  དག་ནི  བླང་བ  -ར་གྱིས 
 ལས  བཅོམ་ལྡན 						ལས 	བཅོམ་ལྡན 	འདས་ཀྱིས 	ཉན་ཐོས 	ཆེན་པོ 	བཅུ་དྲུག་ལ 	bstod tshogs ka_.txt	     ལས  བཅོམ་ལྡན  འདས་ཀྱིས  ཉན་ཐོས  ཆེན་པོ  བཅུ་དྲུག་ལ 
 ལས ་ནི 						ལས	་ནི 	རྣམ་གྲོལ་བ 	།_། 	དེ 	འདི 	bstod tshogs ka_.txt	     ལས ་ནི  རྣམ་གྲོལ་བ  །_།  དེ  འདི 
 ལས  འདས་མ 						ལས 	འདས་མ 	།_། 	གང 	ཁྱོད 	འགའ 	bstod tshogs ka_.txt	     ལས  འདས་མ  །_།  གང  ཁྱོད  འགའ 
 ལས  །_། 						ལས 	།_། 	བདག་གིས 	དགེ་བ་གང 	བསགས་པ 	།_། 	bstod tshogs ka_.txt	     ལས  །_།  བདག་གིས  དགེ་བ་གང  བསགས་པ  །_། 
 ལས ་ནི 						ལས	་ནི 	འབྲེལ 	འབྱུང་བ 	།_། 	མ 	bstod tshogs ka_.txt	     ལས ་ནི  འབྲེལ  འབྱུང་བ  །_།  མ 
 ལས  བྱུང་བ 						ལས 	བྱུང་བ 	།_། 	དེ 	དག 	བྱས་པ 	bstod tshogs ka_.txt	     ལས  བྱུང་བ  །_།  དེ  དག  བྱས་པ 
 ལས  བྱུང་བ་ཀུན 						ལས 	བྱུང་བ་ཀུན 	།_། 	མགོན་པོ 	ཁྱོད་ཀྱིས 	དེ་ལྟར་གསུངས 	bstod tshogs ka_.txt	     ལས  བྱུང་བ་ཀུན  །_།  མགོན་པོ  ཁྱོད་ཀྱིས  དེ་ལྟར་གསུངས 
 ལས  དངོས་པ 						ལས 	དངོས་པ 	སྐྱེ་བ་མེད 	།_། 	གཞན་དང་གཉིས 	ཀ་ལ 	bstod tshogs ka_.txt	     ལས  དངོས་པ  སྐྱེ་བ་མེད  །_།  གཞན་དང་གཉིས  ཀ་ལ 
 ལས  གཞན་ཞིག 						ལས 	གཞན་ཞིག 	འབྱུང 	_།_། 	མ 	སྐྱེས་པ་ལ 	bstod tshogs ka_.txt	     ལས  གཞན་ཞིག  འབྱུང  _།_།  མ  སྐྱེས་པ་ལ 
