 ཏེ  གཞན་གྱིས 						ཏེ 	གཞན་གྱིས 	རྒྱུད 	རྣམས་ཀྱི 	།_། 	ཉོན་མོངས 	bstod tshogs ka_.txt	     ཏེ  གཞན་གྱིས  རྒྱུད  རྣམས་ཀྱི  །_།  ཉོན་མོངས 
 ཏེ  ཆོས་ནི 						ཏེ 	ཆོས་ནི 	འདི་དག་ཀྱང 	།_། 	སྤོ་བ་ཞིག་ཏུ 	བཏུབ་ན་ནི 	bstod tshogs ka_.txt	     ཏེ  ཆོས་ནི  འདི་དག་ཀྱང  །_།  སྤོ་བ་ཞིག་ཏུ  བཏུབ་ན་ནི 
 ཏེ  །_། 						ཏེ 	།_། 	དེ 	ཕྱིར 	བས 	མིན 	bstod tshogs ka_.txt	     ཏེ  །_།  དེ  ཕྱིར  བས  མིན 
 ཏེ ར 						ཏེ	ར 	།_། 	ཡོན་ཏན 	འབྱུང་གནས 	ཆོས་ཀྱི་ཚོགས 	bstod tshogs ka_.txt	     ཏེ ར  །_།  ཡོན་ཏན  འབྱུང་གནས  ཆོས་ཀྱི་ཚོགས 
 ཏེ  གཏན་ལ 						ཏེ 	གཏན་ལ 	ཕབ་པའོ 	།།༄༅།_། 	ཡོན་ཏན 	མཐའ་ཡས་པ 	bstod tshogs ka_.txt	     ཏེ  གཏན་ལ  ཕབ་པའོ  །།༄༅།_།  ཡོན་ཏན  མཐའ་ཡས་པ 
 ཏེ  རང་ལ 						ཏེ 	རང་ལ 	རག་ལས་ཞེས 	བྱ་བ 	འདི་དག་ནི 	དགེ་བ 	bstod tshogs ka_.txt	     ཏེ  རང་ལ  རག་ལས་ཞེས  བྱ་བ  འདི་དག་ནི  དགེ་བ 
 ཏེ  །_ 						ཏེ 	།_ 	དེ 	ལྟར 	ཚིགས་སུ 	བཅད་པ 	bstod tshogs ka_.txt	     ཏེ  །_  དེ  ལྟར  ཚིགས་སུ  བཅད་པ 
 ཏེ  །_ 						ཏེ 	།_ 	མོས་པ 	-ས 	སྤྱོད་པ 	རྣམས་ཀྱི་དང 	bstod tshogs ka_.txt	     ཏེ  །_  མོས་པ  -ས  སྤྱོད་པ  རྣམས་ཀྱི་དང 
 ཏེ  ལེའུ་གཉིས་པའོ 						ཏེ 	ལེའུ་གཉིས་པའོ 	།།_།། 	ས 	ཐོབ་པ 	རྣམས་ཀྱི 	bstod tshogs ka_.txt	     ཏེ  ལེའུ་གཉིས་པའོ  །།_།།  ས  ཐོབ་པ  རྣམས་ཀྱི 
 ཏེ  །_ 						ཏེ 	།_ 	བསམ་པ 	ཕུན 	སུམ 	ཚོགས་པ་དང 	bstod tshogs ka_.txt	     ཏེ  །_  བསམ་པ  ཕུན  སུམ  ཚོགས་པ་དང 
