 ནས  སྐྱེས་ཀྱང 						ནས 	སྐྱེས་ཀྱང 	མ 	སྐྱེས་ཞེས 	།_། 	ཚིག་གི 	bstod tshogs ka_.txt	     ནས  སྐྱེས་ཀྱང  མ  སྐྱེས་ཞེས  །_།  ཚིག་གི 
 ནས ་པ 						ནས	་པ 	-ར 	རིགས 	འགྱུར་གྱི 	།_། 	bstod tshogs ka_.txt	     ནས ་པ  -ར  རིགས  འགྱུར་གྱི  །_། 
 ནས ་པ 						ནས	་པ 	-ར 	རིགས་པས 	།_། 	འཇིག 	bstod tshogs ka_.txt	     ནས ་པ  -ར  རིགས་པས  །_།  འཇིག 
 ནས  འབྱུང་བ 						ནས 	འབྱུང་བ 	-ར་གསུངས 	།_། 	རྟེན་ཅིང 	འབྲེལ 	bstod tshogs ka_.txt	     ནས  འབྱུང་བ  -ར་གསུངས  །_།  རྟེན་ཅིང  འབྲེལ 
 ནས  མེད་ལ 						ནས 	མེད་ལ 	།_། 	འཇིག 	རྟེན 	དཔེ་ལས 	bstod tshogs ka_.txt	     ནས  མེད་ལ  །_།  འཇིག  རྟེན  དཔེ་ལས 
 ནས ་ནས 						ནས	་ནས 	།_། 	གུས་པ 	ཆེན་པོ 	-ས 	bstod tshogs ka_.txt	     ནས ་ནས  །_།  གུས་པ  ཆེན་པོ  -ས 
 ནས  མི 						ནས 	མི 	མངའ་ལ 	ཕྱག 	འཚལ་འདུད 	།_། 	bstod tshogs ka_.txt	     ནས  མི  མངའ་ལ  ཕྱག  འཚལ་འདུད  །_། 
 ནས ་པས 						ནས	་པས 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཀྱི 	དངོས 	bstod tshogs ka_.txt	     ནས ་པས  །_།  ཆོས་ཀྱི  དབྱིངས་ཀྱི  དངོས 
 ནས ་སུ 						ནས	་སུ 	འགྲོ་བ 	-ར་ཤོག 	_། 	དོན 	bstod tshogs ka_.txt	     ནས ་སུ  འགྲོ་བ  -ར་ཤོག  _།  དོན 
 ནས ་པ 						ནས	་པ 	གང་ཡིན་དེ་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	     ནས ་པ  གང་ཡིན་དེ་ལ  ཕྱག  འཚལ་ལོ  །_། 
 ནས  འགྲོ་བ 						ནས 	འགྲོ་བ 	འདི་དག 	མ 	ལུས 	བྱང་ཆུབ་ལམ་ལ 	bstod tshogs ka_.txt	     ནས  འགྲོ་བ  འདི་དག  མ  ལུས  བྱང་ཆུབ་ལམ་ལ 
 ནས  འབད་པ་དང 						ནས 	འབད་པ་དང 	རྩོལ་བ 	-འི 	བརྩོན་འགྲུས་དང 	ལྡན་པ 	bstod tshogs ka_.txt	     ནས  འབད་པ་དང  རྩོལ་བ  -འི  བརྩོན་འགྲུས་དང  ལྡན་པ 
 ནས  མ 						ནས 	མ 	སྐྱེས་པ 	-འོ་ཞེས 	འབྱུང་བ 	-ས་ན་གང 	bstod tshogs ka_.txt	     ནས  མ  སྐྱེས་པ  -འོ་ཞེས  འབྱུང་བ  -ས་ན་གང 
 ནས  མ 						ནས 	མ 	སྐྱེས་པ་དེ་ལ 	གཅིག་དང 	དུ་མ 	-འི 	bstod tshogs ka_.txt	     ནས  མ  སྐྱེས་པ་དེ་ལ  གཅིག་དང  དུ་མ  -འི 
 ནས ་སྐབས་སུ 						ནས	་སྐབས་སུ 	བྱ་བ 	-ར 	མི 	ནུས་ཏེ 	bstod tshogs ka_.txt	     ནས ་སྐབས་སུ  བྱ་བ  -ར  མི  ནུས་ཏེ 
 ནས ་པ 						ནས	་པ 	ལྟར 	བདག་དང 	གཞན་ལ 	ཕན་པ 	bstod tshogs ka_.txt	     ནས ་པ  ལྟར  བདག་དང  གཞན་ལ  ཕན་པ 
 ནས  ཉོན་མོངས 						ནས 	ཉོན་མོངས 	པར 	ཐལ་བ 	-ར 	འགྱུར་གྱི 	bstod tshogs ka_.txt	     ནས  ཉོན་མོངས  པར  ཐལ་བ  -ར  འགྱུར་གྱི 
 ནས  བྱེ་བྲག 						ནས 	བྱེ་བྲག 	དུ་མ 	-ར 	འཆད་པ 	-ར 	bstod tshogs ka_.txt	     ནས  བྱེ་བྲག  དུ་མ  -ར  འཆད་པ  -ར 
 ནས ་པ 						ནས	་པ 	-འི 	སྐུ 	གང་ཡིན་པ་དེ་ལ 	དེ་སྐད་ཅེས་བྱའོ 	bstod tshogs ka_.txt	     ནས ་པ  -འི  སྐུ  གང་ཡིན་པ་དེ་ལ  དེ་སྐད་ཅེས་བྱའོ 
 ནས  །_ 						ནས 	།_ 	སྤྲུལ་པ 	-འི 	སྐུ 	-འི 	bstod tshogs ka_.txt	     ནས  །_  སྤྲུལ་པ  -འི  སྐུ  -འི 
