འབྲས་བུ་འབྱུང  _ །_། 	།_། 	རྒྱུ་དང 	འདྲ་བ 	-འི 	འབྲས་བུ་འབྱུང 	_	།_། 	ས་བོན 	མེད་པ 	-ར 	འབྲས 	bstod tshogs ka_.txt	།_།  རྒྱུ་དང  འདྲ་བ  -འི  འབྲས་བུ་འབྱུང  _ །_།  ས་བོན  མེད་པ  -ར  འབྲས 
 _ ། 						_	། 	ཤེས 	ལྡན་གང་གིས 	སྒྲུབ་པ 	-ར 	bstod tshogs ka_.txt	     _ །  ཤེས  ལྡན་གང་གིས  སྒྲུབ་པ  -ར 
 _ །_ 						_	།_ 	-ས 	བོན 	གྱུར་པ 	ཁམས་དེ་ཉིད 	bstod tshogs ka_.txt	     _ །_  -ས  བོན  གྱུར་པ  ཁམས་དེ་ཉིད 
 _ ། 						_	། 	ཆོས 	རྣམས 	ཀུན་གྱི 	རྟེན་དུ་འདོད 	bstod tshogs ka_.txt	     _ །  ཆོས  རྣམས  ཀུན་གྱི  རྟེན་དུ་འདོད 
 _ ། 						_	། 	རིམ་གྱིས 	སྦྱངས་པ 	-ར 	གྱུར་པ་ལས 	bstod tshogs ka_.txt	     _ །  རིམ་གྱིས  སྦྱངས་པ  -ར  གྱུར་པ་ལས 
 _ ། 						_	། 	སངས 	རྒྱས 	གོ་འཕང 	ཐོབ་པ 	bstod tshogs ka_.txt	     _ །  སངས  རྒྱས  གོ་འཕང  ཐོབ་པ 
ཟླ་བ་ཡང  _ །_། 	།_། 	དྲི 	མེད 	ཉི་མ 	ཟླ་བ་ཡང 	_	།_། 	སྤྲིན་དང 	ཁུག་རྣ 	དུ་བ་དང 	_།_། 	bstod tshogs ka_.txt	།_།  དྲི  མེད  ཉི་མ  ཟླ་བ་ཡང  _ །_།  སྤྲིན་དང  ཁུག་རྣ  དུ་བ་དང  _།_། 
 _ ། 						_	། 	སྒྲིབ་པ 	ལྔ་ཡིས 	བསྒྲིབས་པ 	-ར་གྱུར 	bstod tshogs ka_.txt	     _ །  སྒྲིབ་པ  ལྔ་ཡིས  བསྒྲིབས་པ  -ར་གྱུར 
 _ ། 						_	། 	དེ 	བཞིན 	འོད་གསལ་བ་ཡི་སེམས 	།_། 	bstod tshogs ka_.txt	     _ །  དེ  བཞིན  འོད་གསལ་བ་ཡི་སེམས  །_། 
 _ །_། 	འདོད་དང 	གནོད་སེམས 	ལེ་ལོ་དང 			_	།_། 	རྒོད་པ་དང་ནི 	ཐེ་ཚོམ་སྟེ 	།_། 	སྒྲིབ་པ 	bstod tshogs ka_.txt	འདོད་དང  གནོད་སེམས  ལེ་ལོ་དང    _ །_།  རྒོད་པ་དང་ནི  ཐེ་ཚོམ་སྟེ  །_།  སྒྲིབ་པ 
