 ཞེས  མི་བརྟག 						ཞེས 	མི་བརྟག 	_། 	ཇི 	ལྟར 	སྦུན་པ་ལས 	bstod tshogs ka_.txt	     ཞེས  མི་བརྟག  _།  ཇི  ལྟར  སྦུན་པ་ལས 
 ཞེས ་ཀྱང་གསུངས 						ཞེས	་ཀྱང་གསུངས 	།_། 	གཅིག་དང 	གཞན 	ཉིད 	bstod tshogs ka_.txt	     ཞེས ་ཀྱང་གསུངས  །_།  གཅིག་དང  གཞན  ཉིད 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	།_ 	འཇམ 	དཔལ་གཞོན 	ནུར 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  །_  འཇམ  དཔལ་གཞོན  ནུར 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	སློབ་དཔོན 	ཆེན་པོ 	ཀླུ་སྒྲུབ་ཀྱི 	ཞལ་སྔ་ནས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  སློབ་དཔོན  ཆེན་པོ  ཀླུ་སྒྲུབ་ཀྱི  ཞལ་སྔ་ནས 
 ཞེས  །_། 						ཞེས 	།_། 	གླེན་གང་གང་གིས 	ཕུན་ཚོགས 	ཟད 	གྱུར་ཅེས 	bstod tshogs ka_.txt	     ཞེས  །_།  གླེན་གང་གང་གིས  ཕུན་ཚོགས  ཟད  གྱུར་ཅེས 
 ཞེས  །_། 						ཞེས 	།_། 	དེ 	ལྟར 	བརྩོན་པ 	ཁྱེད་ཀྱི 	bstod tshogs ka_.txt	     ཞེས  །_།  དེ  ལྟར  བརྩོན་པ  ཁྱེད་ཀྱི 
 ཞེས  བྱ་བའི 						ཞེས 	བྱ་བའི 	།_། 	འགྲམ 	བཞུགས 	མཆོད་རྟེན 	bstod tshogs ka_.txt	     ཞེས  བྱ་བའི  །_།  འགྲམ  བཞུགས  མཆོད་རྟེན 
 ཞེས  །_། 						ཞེས 	།_། 	བཀྲ 	ཤིས 	འབྱུང་བ 	-འི 	bstod tshogs ka_.txt	     ཞེས  །_།  བཀྲ  ཤིས  འབྱུང་བ  -འི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	སློབ་དཔོན 	ཆེན་པོ 	འཕགས་པ 	ཀླུ་སྒྲུབ་ཀྱིས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  སློབ་དཔོན  ཆེན་པོ  འཕགས་པ  ཀླུ་སྒྲུབ་ཀྱིས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	།_ 	དེ 	བཞིན 	གཤེགས་པ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  །_  དེ  བཞིན  གཤེགས་པ 
 ཞེས  བྱ 						ཞེས 	བྱ 	བ 	།༄༅༅།_། 	རྒྱ 	གར 	bstod tshogs ka_.txt	     ཞེས  བྱ  བ  །༄༅༅།_།  རྒྱ  གར 
