 ན  འོད་གསལ་བ་ཡི་སེམས 						ན 	འོད་གསལ་བ་ཡི་སེམས 	།_། 	འདོད་དང 	གནོད་སེམས 	ལེ་ལོ་དང 	bstod tshogs ka_.txt	     ན  འོད་གསལ་བ་ཡི་སེམས  །_།  འདོད་དང  གནོད་སེམས  ལེ་ལོ་དང 
 ན ི 						ན	ི 	ཐེ་ཚོམ་སྟེ 	།_། 	སྒྲིབ་པ 	ལྔ་ཡིས 	bstod tshogs ka_.txt	     ན ི  ཐེ་ཚོམ་སྟེ  །_།  སྒྲིབ་པ  ལྔ་ཡིས 
མེ་ཡི  ན ང 	དྲི་མ་ཅན 	།_། 	ཇི 	ལྟར 	མེ་ཡི 	ན	ང 	བཅུག་ན 	།_། 	དྲི 	མ 	bstod tshogs ka_.txt	དྲི་མ་ཅན  །_།  ཇི  ལྟར  མེ་ཡི  ན ང  བཅུག་ན  །_།  དྲི  མ 
 ན ་ལྟར 						ན	་ལྟར 	།_། 	དེ 	བཞིན 	འོད་གསལ་བ་ཡི་སེམས 	bstod tshogs ka_.txt	     ན ་ལྟར  །_།  དེ  བཞིན  འོད་གསལ་བ་ཡི་སེམས 
 ན  །_། 						ན 	།_། 	ཡེ 	ཤེས 	མེ་ཡིས 	ཉོན་མོངས་བསྲེག 	bstod tshogs ka_.txt	     ན  །_།  ཡེ  ཤེས  མེ་ཡིས  ཉོན་མོངས་བསྲེག 
 ན ་ནོ 						ན	་ནོ 	།_། 	སྟོང་པ 	ཉིད་ནི 	སྟོན་པ 	bstod tshogs ka_.txt	     ན ་ནོ  །_།  སྟོང་པ  ཉིད་ནི  སྟོན་པ 
 ན ་གྱིས 						ན	་གྱིས 	ཉོན་མོངས་ལྡོག 	_། 	ཁམས་དེ 	ཉམས་པ 	bstod tshogs ka_.txt	     ན ་གྱིས  ཉོན་མོངས་ལྡོག  _།  ཁམས་དེ  ཉམས་པ 
 ན  །_།_ 						ན 	།_།_ 	-ས་ཡི་དཀྱིལ་ན 	ཡོད་པ 	-འི་ཆུ 	།_། 	bstod tshogs ka_.txt	     ན  །_།_  -ས་ཡི་དཀྱིལ་ན  ཡོད་པ  -འི་ཆུ  །_། 
ཉོན་མོངས  ན ང་ན 	མེད་པ 	-ར 	གནས་པ་ལྟར 	།_། 	ཉོན་མོངས 	ན	ང་ན 	ཡེ་ཤེས་ཀྱང 	_།_། 	དེ་བཞིན 	དྲི་མ 	bstod tshogs ka_.txt	མེད་པ  -ར  གནས་པ་ལྟར  །_།  ཉོན་མོངས  ན ང་ན  ཡེ་ཤེས་ཀྱང  _།_།  དེ་བཞིན  དྲི་མ 
 ན ས 						ན	ས 	།_། 	ཆོས 	དབྱིངས་གང 	ཕྱིར 	bstod tshogs ka_.txt	     ན ས  །_།  ཆོས  དབྱིངས་གང  ཕྱིར 
 ན  །_། 						ན 	།_། 	བུད 	མེད 	མ་ཡིན 	སྐྱེས་པ 	bstod tshogs ka_.txt	     ན  །_།  བུད  མེད  མ་ཡིན  སྐྱེས་པ 
 ན  །_། 						ན 	།_། 	གཟུང་བ 	ཀུན་ལས 	རྣམ་གྲོལ་བ 	།_། 	bstod tshogs ka_.txt	     ན  །_།  གཟུང་བ  ཀུན་ལས  རྣམ་གྲོལ་བ  །_། 
 ན ་ལ 						ན	་ལ 	།_། 	བུད 	མེད 	སྐྱེས་པ 	bstod tshogs ka_.txt	     ན ་ལ  །_།  བུད  མེད  སྐྱེས་པ 
 ན  །_། 						ན 	།_། 	འདོད 	ཆགས་ཀྱིས 	ལྡོངས 	གདུལ་བྱ 	bstod tshogs ka_.txt	     ན  །_།  འདོད  ཆགས་ཀྱིས  ལྡོངས  གདུལ་བྱ 
 ན  །_། 						ན 	།_། 	མི 	རྟག 	སྡུག་བསྔལ 	སྟོང་པ་ཞེས 	bstod tshogs ka_.txt	     ན  །_།  མི  རྟག  སྡུག་བསྔལ  སྟོང་པ་ཞེས 
 ན ི 						ན	ི 	སྦྱོང་བྱེད་པའི 	།_། 	ཆོས་ནི 	རང་བཞིན 	bstod tshogs ka_.txt	     ན ི  སྦྱོང་བྱེད་པའི  །_།  ཆོས་ནི  རང་བཞིན 
 ན  །_། 						ན 	།_། 	ཇི 	ལྟར 	སྦྲུམ་མ 	-འི 	bstod tshogs ka_.txt	     ན  །_།  ཇི  ལྟར  སྦྲུམ་མ  -འི 
 ན ་བུ 						ན	་བུ 	།_། 	ཡོད་ཀྱང 	མཐོང་བ 	མ་ཡིན་པ 	bstod tshogs ka_.txt	     ན ་བུ  །_།  ཡོད་ཀྱང  མཐོང་བ  མ་ཡིན་པ 
 ན  ཉོན་མོངས་ཀྱིས 						ན 	ཉོན་མོངས་ཀྱིས 	གཡོགས་པའི 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ཀྱང 	bstod tshogs ka_.txt	     ན  ཉོན་མོངས་ཀྱིས  གཡོགས་པའི  །_།  ཆོས་ཀྱི  དབྱིངས་ཀྱང 
 ན  །_། 						ན 	།_། 	བདག་དང 	བདག་གི 	རྣམ་རྟོག་དང 	_།_། 	bstod tshogs ka_.txt	     ན  །_།  བདག་དང  བདག་གི  རྣམ་རྟོག་དང  _།_། 
