 གི  །_། 						གི 	།_། 	ཚིག་དང 	སྤྱོད 	མཁྱེན 	འོངས་པ་དང 	bstod tshogs ka_.txt	     གི  །_།  ཚིག་དང  སྤྱོད  མཁྱེན  འོངས་པ་དང 
 གི ་པདྨ 						གི	་པདྨ 	རིང་དུ 	རྟག 	རྐྱོང་ཡང 	།_། 	bstod tshogs ka_.txt	     གི ་པདྨ  རིང་དུ  རྟག  རྐྱོང་ཡང  །_། 
 གི  དམན་པ 						གི 	དམན་པ 	ཅི་ཕྱིར 	གསན 	མ་གྱུར 	།_། 	bstod tshogs ka_.txt	     གི  དམན་པ  ཅི་ཕྱིར  གསན  མ་གྱུར  །_། 
 གི ས 						གི	ས 	ཕུན་ཚོགས 	ཟད 	གྱུར་ཅེས 	།_། 	bstod tshogs ka_.txt	     གི ས  ཕུན་ཚོགས  ཟད  གྱུར་ཅེས  །_། 
 གི ས 						གི	ས 	གཞན་སུ་ལ 	།_། 	སྐྱབས་སུ 	མཆི་བ 	bstod tshogs ka_.txt	     གི ས  གཞན་སུ་ལ  །_།  སྐྱབས་སུ  མཆི་བ 
 གི ་ཕྱོགས 						གི	་ཕྱོགས 	།_། 	རྣམ་པ 	ཀུན་དུ 	ཕྱི་བཤོལ 	bstod tshogs ka_.txt	     གི ་ཕྱོགས  །_།  རྣམ་པ  ཀུན་དུ  ཕྱི་བཤོལ 
 གི ས་དགེ 						གི	ས་དགེ 	བསགས་པ 	།_། 	གང་ཡིན 	དེ 	bstod tshogs ka_.txt	     གི ས་དགེ  བསགས་པ  །_།  གང་ཡིན  དེ 
 གི ་ཚལ 						གི	་ཚལ 	།_། 	མཆོད 	རྟེན 	མྱ་ངན 	bstod tshogs ka_.txt	     གི ་ཚལ  །_།  མཆོད  རྟེན  མྱ་ངན 
 གི  རྒྱུད་ལ་གང 						གི 	རྒྱུད་ལ་གང 	བསགས་པ 	།_། 	དེས་ནི 	སེམས་ཅན 	bstod tshogs ka_.txt	     གི  རྒྱུད་ལ་གང  བསགས་པ  །_།  དེས་ནི  སེམས་ཅན 
 གི  སོར་མོ 						གི 	སོར་མོ 	-འི 	སྟོབས་ཀྱིས 	བཏུལ་ནས་ཀྱང 	_།_། 	bstod tshogs ka_.txt	     གི  སོར་མོ  -འི  སྟོབས་ཀྱིས  བཏུལ་ནས་ཀྱང  _།_། 
 གི ས 						གི	ས 	དང་པོ 	-ར 	བྱང་ཆུབ 	ཐུགས་བསྐྱེད་ནས 	bstod tshogs ka_.txt	     གི ས  དང་པོ  -ར  བྱང་ཆུབ  ཐུགས་བསྐྱེད་ནས 
 གི ས 						གི	ས 	བསྟོད་པ 	-ར་བགྱི 	།_། 	ལྷ 	bstod tshogs ka_.txt	     གི ས  བསྟོད་པ  -ར་བགྱི  །_།  ལྷ 
 གི  ཡུལ་དུ 						གི 	ཡུལ་དུ 	བདུད 	རྣམས་བཏུལ 	།_། 	ཐུབ་པ 	bstod tshogs ka_.txt	     གི  ཡུལ་དུ  བདུད  རྣམས་བཏུལ  །_།  ཐུབ་པ 
 གི  ས་གཞི 						གི 	ས་གཞི 	གཙང་མ་རུ 	།_། 	འཆི 	མེད 	bstod tshogs ka_.txt	     གི  ས་གཞི  གཙང་མ་རུ  །_།  འཆི  མེད 
 གི ས 						གི	ས 	སྟོབས་ནི 	བརྒྱན 	གྱུར་པ 	།_། 	bstod tshogs ka_.txt	     གི ས  སྟོབས་ནི  བརྒྱན  གྱུར་པ  །_། 
 གི ས 						གི	ས 	རྒྱལ་བ 	བསྟོད་པ་ལས 	།_། 	བསོད 	bstod tshogs ka_.txt	     གི ས  རྒྱལ་བ  བསྟོད་པ་ལས  །_།  བསོད 
 གི ས་གང 						གི	ས་གང 	བསགས་པ 	།_། 	དེས་ནི 	སེམས་ཅན 	bstod tshogs ka_.txt	     གི ས་གང  བསགས་པ  །_།  དེས་ནི  སེམས་ཅན 
 གི ས་འཁུམས 						གི	ས་འཁུམས 	།_། 	དེ 	བཞིན 	གཤེགས 	bstod tshogs ka_.txt	     གི ས་འཁུམས  །_།  དེ  བཞིན  གཤེགས 
 གི ས་ཀྱང་ནི 						གི	ས་ཀྱང་ནི 	རྒལ 	དཀའ 	-ར་འཁུམས 	།_། 	bstod tshogs ka_.txt	     གི ས་ཀྱང་ནི  རྒལ  དཀའ  -ར་འཁུམས  །_། 
 གི ས 						གི	ས 	མཆོད་རྟེན 	འཇིག་པ 	-ར་བགྱིས 	།_། 	bstod tshogs ka_.txt	     གི ས  མཆོད་རྟེན  འཇིག་པ  -ར་བགྱིས  །_། 
 གི ས 						གི	ས 	སེམས་ཅན 	འཚེ་བ 	-ར་བགྱིས 	།_། 	bstod tshogs ka_.txt	     གི ས  སེམས་ཅན  འཚེ་བ  -ར་བགྱིས  །_། 
 གི ས 						གི	ས 	བཏབ་ནས 	འཕྱན་པ་བཞིན 	།_། 	དེ 	bstod tshogs ka_.txt	     གི ས  བཏབ་ནས  འཕྱན་པ་བཞིན  །_།  དེ 
 གི ས་ལམ 						གི	ས་ལམ 	མ་མཐོང 	།_། 	དེ 	བཞིན 	bstod tshogs ka_.txt	     གི ས་ལམ  མ་མཐོང  །_།  དེ  བཞིན 
 གི  བསྟན་ལ 						གི 	བསྟན་ལ 	གནས་པ་དང 	།_། 	གང 	བསྟོད་གང་ལ 	bstod tshogs ka_.txt	     གི  བསྟན་ལ  གནས་པ་དང  །_།  གང  བསྟོད་གང་ལ 
