 སྟེ  །_། 						སྟེ 	།_། 	མཐར་ཡང 	བསྐལ་པ 	-འི 	སྐྱོན་གྱིས་གནས 	bstod tshogs ka_.txt	     སྟེ  །_།  མཐར་ཡང  བསྐལ་པ  -འི  སྐྱོན་གྱིས་གནས 
 སྟེ  ལེའུ་དང་པོའོ 						སྟེ 	ལེའུ་དང་པོའོ 	།།_།། 	བདེ་ནས 	སྙིང་རྗེ 	མེད་པ་ནི 	bstod tshogs ka_.txt	     སྟེ  ལེའུ་དང་པོའོ  །།_།།  བདེ་ནས  སྙིང་རྗེ  མེད་པ་ནི 
 སྟེ  །_། 						སྟེ 	།_། 	སྡུག 	བསྔལ 	འཇིགས་སམ་བདེ 	འདོད་པས 	bstod tshogs ka_.txt	     སྟེ  །_།  སྡུག  བསྔལ  འཇིགས་སམ་བདེ  འདོད་པས 
 སྟེ ན་པས 						སྟེ	ན་པས 	།_། 	ཡོངས་སུ 	དག་པ 	-འི་ལས 	bstod tshogs ka_.txt	     སྟེ ན་པས  །_།  ཡོངས་སུ  དག་པ  -འི་ལས 
 སྟེ གས་པ 						སྟེ	གས་པ 	རྣམས་ནི 	།_། 	ལོངས 	སྤྱོད་ཀྱིས་ནི 	bstod tshogs ka_.txt	     སྟེ གས་པ  རྣམས་ནི  །_།  ལོངས  སྤྱོད་ཀྱིས་ནི 
 སྟེ  ལེའུ་གཉིས་པའོ 						སྟེ 	ལེའུ་གཉིས་པའོ 	།།_།། 	ཡོན་ཏན 	ཐམས་ཅད 	ཅུང་ཟད་གཟིགས 	bstod tshogs ka_.txt	     སྟེ  ལེའུ་གཉིས་པའོ  །།_།།  ཡོན་ཏན  ཐམས་ཅད  ཅུང་ཟད་གཟིགས 
 སྟེ  ལེའུ་གསུམ་པའོ 						སྟེ 	ལེའུ་གསུམ་པའོ 	།།_།། 	འགྲོ་ལས 	བདུད་ལས 	རྣམ་པ 	bstod tshogs ka_.txt	     སྟེ  ལེའུ་གསུམ་པའོ  །།_།།  འགྲོ་ལས  བདུད་ལས  རྣམ་པ 
 སྟེ ན་པ་ཡིས་ནི 						སྟེ	ན་པ་ཡིས་ནི 	།_། 	འཁོར་བ 	ཐོག་མ 	མེད་པ་ནི 	bstod tshogs ka_.txt	     སྟེ ན་པ་ཡིས་ནི  །_།  འཁོར་བ  ཐོག་མ  མེད་པ་ནི 
མུ  སྟེ གས་ལས 	སྐྱེ་བོ 	གཞན་དང 	ཐུན་མོང་གང 	།_། 	མུ 	སྟེ	གས་ལས 	རྒྱལ་དེ 	སྨོས་ཅི 	།_། 	འོད 	bstod tshogs ka_.txt	སྐྱེ་བོ  གཞན་དང  ཐུན་མོང་གང  །_།  མུ  སྟེ གས་ལས  རྒྱལ་དེ  སྨོས་ཅི  །_།  འོད 
 སྟེ གས་ལས 						སྟེ	གས་ལས 	།_། 	རྒྱལ 	བར 	མཛད་པ་ཅི་ཞིག་མཚར 	bstod tshogs ka_.txt	     སྟེ གས་ལས  །_།  རྒྱལ  བར  མཛད་པ་ཅི་ཞིག་མཚར 
 སྟེ  །_། 						སྟེ 	།_། 	གསུམ་པོ 	-ས 	རྟག་ཏུ་གསུམ 	དག་བཏུལ 	bstod tshogs ka_.txt	     སྟེ  །_།  གསུམ་པོ  -ས  རྟག་ཏུ་གསུམ  དག་བཏུལ 
 སྟེ  །_། 						སྟེ 	།_། 	དམ 	ཆོས 	རབ་ཏུ 	བསྟོད་པ་དང 	bstod tshogs ka_.txt	     སྟེ  །_།  དམ  ཆོས  རབ་ཏུ  བསྟོད་པ་དང 
 སྟེ གས་ལ 						སྟེ	གས་ལ 	།_། 	རྗེས་སུ 	ཆགས་དང 	ཁོང་ཁྲོ་བར 	bstod tshogs ka_.txt	     སྟེ གས་ལ  །_།  རྗེས་སུ  ཆགས་དང  ཁོང་ཁྲོ་བར 
 སྟེ  ལེའུ 						སྟེ 	ལེའུ 	བཞི་པའོ 	།།_།། 	གང་གིས 	ཁྱོད་ཀྱི 	bstod tshogs ka_.txt	     སྟེ  ལེའུ  བཞི་པའོ  །།_།།  གང་གིས  ཁྱོད་ཀྱི 
 སྟེ  །_། 						སྟེ 	།_། 	ཡང་ན 	ཡོད་ཀྱང 	དོན་མེད་པའོ 	།_། 	bstod tshogs ka_.txt	     སྟེ  །_།  ཡང་ན  ཡོད་ཀྱང  དོན་མེད་པའོ  །_། 
 སྟེ  ལེའུ 						སྟེ 	ལེའུ 	ལྔ་པའོ 	།།_།། 	གསོད་དང 	བཀྲེས་སྐོམ 	bstod tshogs ka_.txt	     སྟེ  ལེའུ  ལྔ་པའོ  །།_།།  གསོད་དང  བཀྲེས་སྐོམ 
 སྟེ  ལེའུ་དྲུག་པའོ 						སྟེ 	ལེའུ་དྲུག་པའོ 	།།_།། 	ཚིག 	བཟང་བ་དང 	དོན་ཆེ་དང 	bstod tshogs ka_.txt	     སྟེ  ལེའུ་དྲུག་པའོ  །།_།།  ཚིག  བཟང་བ་དང  དོན་ཆེ་དང 
 སྟེ  །_། 						སྟེ 	།_། 	ལྷ་ཡི 	ཆུ་ནི 	རྒྱ་མཚོ་བཞིན 	།_། 	bstod tshogs ka_.txt	     སྟེ  །_།  ལྷ་ཡི  ཆུ་ནི  རྒྱ་མཚོ་བཞིན  །_། 
