 ནོ ད་སེམས 						ནོ	ད་སེམས 	ལེ་ལོ་དང 	_།_། 	རྒོད་པ་དང་ནི 	ཐེ་ཚོམ་སྟེ 	bstod tshogs ka_.txt	     ནོ ད་སེམས  ལེ་ལོ་དང  _།_།  རྒོད་པ་དང་ནི  ཐེ་ཚོམ་སྟེ 
 ནོ  །_། 						ནོ 	།_། 	ཡོན་ཏན 	མཐའ་ཡས་པ 	-ར 	བསྟོད་པ 	bstod tshogs ka_.txt	     ནོ  །_།  ཡོན་ཏན  མཐའ་ཡས་པ  -ར  བསྟོད་པ 
 ནོ  །_། 						ནོ 	།_། 	སྙིང 	རྗེ 	ཆེན་པོ་དང 	ལྡན་དུ 	bstod tshogs ka_.txt	     ནོ  །_།  སྙིང  རྗེ  ཆེན་པོ་དང  ལྡན་དུ 
 ནོ ད་པ 						ནོ	ད་པ 	སེལ་བ་དང 	།_ 	ཕན་པ 	བསྒྲུབ་པ 	bstod tshogs ka_.txt	     ནོ ད་པ  སེལ་བ་དང  །_  ཕན་པ  བསྒྲུབ་པ 
རྡོས  ནོ ན་པ 	སེམས 	དང་བཅས་པ 	རྣམས་ནི 	བདག་ཉིད 	རྡོས 	ནོ	ན་པ 	དབྱུང་བ 	-འི་ཕྱིར 	།_ 	འཕྱེ་བོ་དང 	bstod tshogs ka_.txt	སེམས  དང་བཅས་པ  རྣམས་ནི  བདག་ཉིད  རྡོས  ནོ ན་པ  དབྱུང་བ  -འི་ཕྱིར  །_  འཕྱེ་བོ་དང 
 ནོ  །_། 						ནོ 	།_། 	ཚིག 	རྣམ་པ 	-ར 	དབྱེ་བ་ནི 	bstod tshogs ka_.txt	     ནོ  །_།  ཚིག  རྣམ་པ  -ར  དབྱེ་བ་ནི 
 ནོ  །_། 						ནོ 	།_། 	དེ 	གང་དག་ལ 	ཡོད་པ 	དེ་དག་ལ 	bstod tshogs ka_.txt	     ནོ  །_།  དེ  གང་དག་ལ  ཡོད་པ  དེ་དག་ལ 
 ནོ  །_། 						ནོ 	།_། 	དེ་ཇི 	ལྟ 	ཞེ་ན 	།_ 	bstod tshogs ka_.txt	     ནོ  །_།  དེ་ཇི  ལྟ  ཞེ་ན  །_ 
 ནོ  །_། 						ནོ 	།_། 	རྣམ་པ 	གཅིག་ཏུ་ན 	མཆོག 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	     ནོ  །_།  རྣམ་པ  གཅིག་ཏུ་ན  མཆོག  ཆོས་ཀྱི 
 ནོ  །_། 						ནོ 	།_། 	འགྲོ 	བ 	-འི་ཞེས 	བྱ་བ་ནི 	bstod tshogs ka_.txt	     ནོ  །_།  འགྲོ  བ  -འི་ཞེས  བྱ་བ་ནི 
 ནོ  །_། 						ནོ 	།_། 	གང 	དག་ལ་དེ 	སེལ་ཅིང 	འདོར་བ 	bstod tshogs ka_.txt	     ནོ  །_།  གང  དག་ལ་དེ  སེལ་ཅིང  འདོར་བ 
