 གྱི  ཉོན་མོངས་ཀུན 						གྱི 	ཉོན་མོངས་ཀུན 	།_། 	མ 	ལུས་པ 	དག 	bstod tshogs ka_.txt	     གྱི  ཉོན་མོངས་ཀུན  །_།  མ  ལུས་པ  དག 
 གྱི ས་བགྱིས 						གྱི	ས་བགྱིས 	།_། 	བྱས་པ 	ཅན་དུ 	འགྱུར་བ་ལགས 	bstod tshogs ka_.txt	     གྱི ས་བགྱིས  །_།  བྱས་པ  ཅན་དུ  འགྱུར་བ་ལགས 
 གྱི ་བ 						གྱི	་བ 	ཡོད 	མ་མཆིས 	།_། 	དེ 	bstod tshogs ka_.txt	     གྱི ་བ  ཡོད  མ་མཆིས  །_།  དེ 
 གྱི  དབང་ལས 						གྱི 	དབང་ལས 	ཀུན་རྫོབ་སྟེ 	།_། 	གཞན་གྱི 	དབང་ཞེས 	bstod tshogs ka_.txt	     གྱི  དབང་ལས  ཀུན་རྫོབ་སྟེ  །_།  གཞན་གྱི  དབང་ཞེས 
 གྱི  དབང་ནི 						གྱི 	དབང་ནི 	ཡོད 	མ་ལགས 	།_། 	བརྟགས་པ 	bstod tshogs ka_.txt	     གྱི  དབང་ནི  ཡོད  མ་ལགས  །_།  བརྟགས་པ 
 གྱི ས 						གྱི	ས 	ཟིན 	རྣམས་ཀྱིས 	།_། 	གསོ་བ་དེ་ནི 	bstod tshogs ka_.txt	     གྱི ས  ཟིན  རྣམས་ཀྱིས  །_།  གསོ་བ་དེ་ནི 
 གྱི ད་ཅིང 						གྱི	ད་ཅིང 	_།_། 	མུ་སྟེགས 	རི 	དགས 	bstod tshogs ka_.txt	     གྱི ད་ཅིང  _།_།  མུ་སྟེགས  རི  དགས 
 གྱི ད་པ 						གྱི	ད་པ 	།_། 	བདག 	མེད 	སེང་གེ 	bstod tshogs ka_.txt	     གྱི ད་པ  །_།  བདག  མེད  སེང་གེ 
 གྱི  ངོ་བོ་ཉིད 						གྱི 	ངོ་བོ་ཉིད 	།_། 	ངེས་པ 	-འི 	དོན་ཏོ་ཞེས་ཀྱང་བསྟན 	bstod tshogs ka_.txt	     གྱི  ངོ་བོ་ཉིད  །_།  ངེས་པ  -འི  དོན་ཏོ་ཞེས་ཀྱང་བསྟན 
 གྱི ས 						གྱི	ས 	མི 	ཁྱབ་པ 	-ར 	བསྟོད་པ 	bstod tshogs ka_.txt	     གྱི ས  མི  ཁྱབ་པ  -ར  བསྟོད་པ 
 གྱི  །_། 						གྱི 	།_། 	བདག་དང 	གཞན་དང་གཉིས 	ཀ་ལས 	།_། 	bstod tshogs ka_.txt	     གྱི  །_།  བདག་དང  གཞན་དང་གཉིས  ཀ་ལས  །_། 
 གྱི  །_། 						གྱི 	།_། 	ཆོས 	རྣམས 	ཁྱོད་ཀྱིས་གང 	བསྟན་པ 	bstod tshogs ka_.txt	     གྱི  །_།  ཆོས  རྣམས  ཁྱོད་ཀྱིས་གང  བསྟན་པ 
